group,item,sentence,question,left_answer,right_answer,correct_answer,sentence_voice,question_voice,verb_type,verb,s_voice_log_odds,q_voice_log_odds,se_log_odds
J,10,That's the executive that the concierge is somewhat tolerated by.,Who tolerates someone?,the concierge,the executive,the executive,passive,active,subjexp,tolerate,-1.91453502648756,1.91453502648756,0.275519637109558
K,10,That's the executive that the concierge is somewhat terrified by.,Who is terrified?,the executive,the concierge,the concierge,passive,passive,objexp,terrify,1.13707856949591,1.13707856949591,0.266161457905404
L,10,That's the executive that the concierge is somewhat tolerated by.,Who is tolerated?,the executive,the concierge,the concierge,passive,passive,subjexp,tolerate,-1.91453502648756,-1.91453502648756,0.275519637109558
M,10,That's the concierge that the executive somewhat terrifies.,Who terrifies someone?,the concierge,the executive,the executive,active,active,objexp,terrify,-1.13707856949591,-1.13707856949591,0.266161457905404
N,10,That's the concierge that the executive somewhat tolerates.,Who tolerates someone?,the concierge,the executive,the executive,active,active,subjexp,tolerate,1.91453502648756,1.91453502648756,0.275519637109558
O,10,That's the concierge that the executive somewhat terrifies.,Who is terrified?,the executive,the concierge,the concierge,active,passive,objexp,terrify,-1.13707856949591,1.13707856949591,0.266161457905404
P,10,That's the concierge that the executive somewhat tolerates.,Who is tolerated?,the executive,the concierge,the concierge,active,passive,subjexp,tolerate,1.91453502648756,-1.91453502648756,0.275519637109558
A,11,That's the stockbroker that the celebrity really envies.,Who envies someone?,the stockbroker,the celebrity,the celebrity,active,active,subjexp,envy,3.68386691229039,3.68386691229039,0.655483100006046
B,11,That's the stockbroker that the celebrity really interests.,Who interests someone?,the stockbroker,the celebrity,the celebrity,active,active,objexp,interest,-0.890315245470894,-0.890315245470894,0.319664557199661
C,11,That's the celebrity that the stockbroker is really envied by.,Who is envied?,the celebrity,the stockbroker,the stockbroker,passive,passive,subjexp,envy,-3.68386691229039,-3.68386691229039,0.655483100006046
D,11,That's the celebrity that the stockbroker is really interested by.,Who is interested?,the celebrity,the stockbroker,the stockbroker,passive,passive,objexp,interest,0.890315245470894,0.890315245470894,0.319664557199661
E,11,That's the celebrity that the stockbroker is really envied by.,Who envies someone?,the stockbroker,the celebrity,the celebrity,passive,active,subjexp,envy,-3.68386691229039,3.68386691229039,0.655483100006046
F,11,That's the celebrity that the stockbroker is really interested by.,Who interests someone?,the stockbroker,the celebrity,the celebrity,passive,active,objexp,interest,0.890315245470894,-0.890315245470894,0.319664557199661
G,11,That's the stockbroker that the celebrity really envies.,Who is envied?,the stockbroker,the celebrity,the stockbroker,active,passive,subjexp,envy,3.68386691229039,-3.68386691229039,0.655483100006046
H,11,That's the stockbroker that the celebrity really interests.,Who is interested?,the stockbroker,the celebrity,the stockbroker,active,passive,objexp,interest,-0.890315245470894,0.890315245470894,0.319664557199661
I,11,That's the stockbroker that the celebrity really envies.,Who envies someone?,the celebrity,the stockbroker,the celebrity,active,active,subjexp,envy,3.68386691229039,3.68386691229039,0.655483100006046
J,11,That's the stockbroker that the celebrity really interests.,Who interests someone?,the celebrity,the stockbroker,the celebrity,active,active,objexp,interest,-0.890315245470894,-0.890315245470894,0.319664557199661
K,11,That's the celebrity that the stockbroker is really envied by.,Who is envied?,the stockbroker,the celebrity,the stockbroker,passive,passive,subjexp,envy,-3.68386691229039,-3.68386691229039,0.655483100006046
L,11,That's the celebrity that the stockbroker is really interested by.,Who is interested?,the stockbroker,the celebrity,the stockbroker,passive,passive,objexp,interest,0.890315245470894,0.890315245470894,0.319664557199661
M,11,That's the celebrity that the stockbroker is really envied by.,Who envies someone?,the celebrity,the stockbroker,the celebrity,passive,active,subjexp,envy,-3.68386691229039,3.68386691229039,0.655483100006046
N,11,That's the celebrity that the stockbroker is really interested by.,Who interests someone?,the celebrity,the stockbroker,the celebrity,passive,active,objexp,interest,0.890315245470894,-0.890315245470894,0.319664557199661
O,11,That's the stockbroker that the celebrity really envies.,Who is envied?,the celebrity,the stockbroker,the stockbroker,active,passive,subjexp,envy,3.68386691229039,-3.68386691229039,0.655483100006046
P,11,That's the stockbroker that the celebrity really interests.,Who is interested?,the celebrity,the stockbroker,the stockbroker,active,passive,objexp,interest,-0.890315245470894,0.890315245470894,0.319664557199661
A,12,That's the shopkeeper that the farmer is really interested by.,Who is interested?,the farmer,the shopkeeper,the farmer,passive,passive,objexp,interest,0.890315245470894,0.890315245470894,0.319664557199661
B,12,That's the shopkeeper that the farmer is really envied by.,Who is envied?,the farmer,the shopkeeper,the farmer,passive,passive,subjexp,envy,-3.68386691229039,-3.68386691229039,0.655483100006046
C,12,That's the farmer that the shopkeeper really interests.,Who interests someone?,the shopkeeper,the farmer,the shopkeeper,active,active,objexp,interest,-0.890315245470894,-0.890315245470894,0.319664557199661
D,12,That's the farmer that the shopkeeper really envies.,Who envies someone?,the shopkeeper,the farmer,the shopkeeper,active,active,subjexp,envy,3.68386691229039,3.68386691229039,0.655483100006046
E,12,That's the farmer that the shopkeeper really interests.,Who is interested?,the farmer,the shopkeeper,the farmer,active,passive,objexp,interest,-0.890315245470894,0.890315245470894,0.319664557199661
F,12,That's the farmer that the shopkeeper really envies.,Who is envied?,the farmer,the shopkeeper,the farmer,active,passive,subjexp,envy,3.68386691229039,-3.68386691229039,0.655483100006046
G,12,That's the shopkeeper that the farmer is really interested by.,Who interests someone?,the farmer,the shopkeeper,the shopkeeper,passive,active,objexp,interest,0.890315245470894,-0.890315245470894,0.319664557199661
H,12,That's the shopkeeper that the farmer is really envied by.,Who envies someone?,the farmer,the shopkeeper,the shopkeeper,passive,active,subjexp,envy,-3.68386691229039,3.68386691229039,0.655483100006046
I,12,That's the shopkeeper that the farmer is really interested by.,Who is interested?,the shopkeeper,the farmer,the farmer,passive,passive,objexp,interest,0.890315245470894,0.890315245470894,0.319664557199661
J,12,That's the shopkeeper that the farmer is really envied by.,Who is envied?,the shopkeeper,the farmer,the farmer,passive,passive,subjexp,envy,-3.68386691229039,-3.68386691229039,0.655483100006046
K,12,That's the farmer that the shopkeeper really interests.,Who interests someone?,the farmer,the shopkeeper,the shopkeeper,active,active,objexp,interest,-0.890315245470894,-0.890315245470894,0.319664557199661
L,12,That's the farmer that the shopkeeper really envies.,Who envies someone?,the farmer,the shopkeeper,the shopkeeper,active,active,subjexp,envy,3.68386691229039,3.68386691229039,0.655483100006046
M,12,That's the farmer that the shopkeeper really interests.,Who is interested?,the shopkeeper,the farmer,the farmer,active,passive,objexp,interest,-0.890315245470894,0.890315245470894,0.319664557199661
N,12,That's the farmer that the shopkeeper really envies.,Who is envied?,the shopkeeper,the farmer,the farmer,active,passive,subjexp,envy,3.68386691229039,-3.68386691229039,0.655483100006046
O,12,That's the shopkeeper that the farmer is really interested by.,Who interests someone?,the shopkeeper,the farmer,the shopkeeper,passive,active,objexp,interest,0.890315245470894,-0.890315245470894,0.319664557199661
P,12,That's the shopkeeper that the farmer is really envied by.,Who envies someone?,the shopkeeper,the farmer,the shopkeeper,passive,active,subjexp,envy,-3.68386691229039,3.68386691229039,0.655483100006046
A,13,That's the father that the daughter is particularly cherished by.,Who is cherished?,the father,the daughter,the daughter,passive,passive,subjexp,cherish,-2.91531070624342,-2.91531070624342,0.458652360020089
B,13,That's the father that the daughter is particularly annoyed by.,Who is annoyed?,the father,the daughter,the daughter,passive,passive,objexp,annoy,-1.18377009700842,-1.18377009700842,0.280861567243809
C,13,That's the father that the daughter is particularly cherished by.,Who cherishes someone?,the daughter,the father,the father,passive,active,subjexp,cherish,-2.91531070624342,2.91531070624342,0.458652360020089
D,13,That's the father that the daughter is particularly annoyed by.,Who annoys someone?,the daughter,the father,the father,passive,active,objexp,annoy,-1.18377009700842,1.18377009700842,0.280861567243809
E,13,That's the daughter that the father particularly cherishes.,Who is cherished?,the daughter,the father,the daughter,active,passive,subjexp,cherish,2.91531070624342,-2.91531070624342,0.458652360020089
F,13,That's the daughter that the father particularly annoys.,Who is annoyed?,the daughter,the father,the daughter,active,passive,objexp,annoy,1.18377009700842,-1.18377009700842,0.280861567243809
G,13,That's the daughter that the father particularly cherishes.,Who cherishes someone?,the father,the daughter,the father,active,active,subjexp,cherish,2.91531070624342,2.91531070624342,0.458652360020089
H,13,That's the daughter that the father particularly annoys.,Who annoys someone?,the father,the daughter,the father,active,active,objexp,annoy,1.18377009700842,1.18377009700842,0.280861567243809
I,13,That's the father that the daughter is particularly cherished by.,Who is cherished?,the daughter,the father,the daughter,passive,passive,subjexp,cherish,-2.91531070624342,-2.91531070624342,0.458652360020089
J,13,That's the father that the daughter is particularly annoyed by.,Who is annoyed?,the daughter,the father,the daughter,passive,passive,objexp,annoy,-1.18377009700842,-1.18377009700842,0.280861567243809
K,13,That's the father that the daughter is particularly cherished by.,Who cherishes someone?,the father,the daughter,the father,passive,active,subjexp,cherish,-2.91531070624342,2.91531070624342,0.458652360020089
L,13,That's the father that the daughter is particularly annoyed by.,Who annoys someone?,the father,the daughter,the father,passive,active,objexp,annoy,-1.18377009700842,1.18377009700842,0.280861567243809
M,13,That's the daughter that the father particularly cherishes.,Who is cherished?,the father,the daughter,the daughter,active,passive,subjexp,cherish,2.91531070624342,-2.91531070624342,0.458652360020089
N,13,That's the daughter that the father particularly annoys.,Who is annoyed?,the father,the daughter,the daughter,active,passive,objexp,annoy,1.18377009700842,-1.18377009700842,0.280861567243809
O,13,That's the daughter that the father particularly cherishes.,Who cherishes someone?,the daughter,the father,the father,active,active,subjexp,cherish,2.91531070624342,2.91531070624342,0.458652360020089
P,13,That's the daughter that the father particularly annoys.,Who annoys someone?,the daughter,the father,the father,active,active,objexp,annoy,1.18377009700842,1.18377009700842,0.280861567243809
A,14,That's the colleague that the scientist particularly annoys.,Who annoys someone?,the scientist,the colleague,the scientist,active,active,objexp,annoy,1.18377009700842,1.18377009700842,0.280861567243809
B,14,That's the colleague that the scientist particularly cherishes.,Who cherishes someone?,the scientist,the colleague,the scientist,active,active,subjexp,cherish,2.91531070624342,2.91531070624342,0.458652360020089
C,14,That's the colleague that the scientist particularly annoys.,Who is annoyed?,the colleague,the scientist,the colleague,active,passive,objexp,annoy,1.18377009700842,-1.18377009700842,0.280861567243809
D,14,That's the colleague that the scientist particularly cherishes.,Who is cherished?,the colleague,the scientist,the colleague,active,passive,subjexp,cherish,2.91531070624342,-2.91531070624342,0.458652360020089
E,14,That's the scientist that the colleague is particularly annoyed by.,Who annoys someone?,the colleague,the scientist,the scientist,passive,active,objexp,annoy,-1.18377009700842,1.18377009700842,0.280861567243809
F,14,That's the scientist that the colleague is particularly cherished by.,Who cherishes someone?,the colleague,the scientist,the scientist,passive,active,subjexp,cherish,-2.91531070624342,2.91531070624342,0.458652360020089
G,14,That's the scientist that the colleague is particularly annoyed by.,Who is annoyed?,the scientist,the colleague,the colleague,passive,passive,objexp,annoy,-1.18377009700842,-1.18377009700842,0.280861567243809
H,14,That's the scientist that the colleague is particularly cherished by.,Who is cherished?,the scientist,the colleague,the colleague,passive,passive,subjexp,cherish,-2.91531070624342,-2.91531070624342,0.458652360020089
I,14,That's the colleague that the scientist particularly annoys.,Who annoys someone?,the colleague,the scientist,the scientist,active,active,objexp,annoy,1.18377009700842,1.18377009700842,0.280861567243809
J,14,That's the colleague that the scientist particularly cherishes.,Who cherishes someone?,the colleague,the scientist,the scientist,active,active,subjexp,cherish,2.91531070624342,2.91531070624342,0.458652360020089
K,14,That's the colleague that the scientist particularly annoys.,Who is annoyed?,the scientist,the colleague,the colleague,active,passive,objexp,annoy,1.18377009700842,-1.18377009700842,0.280861567243809
L,14,That's the colleague that the scientist particularly cherishes.,Who is cherished?,the scientist,the colleague,the colleague,active,passive,subjexp,cherish,2.91531070624342,-2.91531070624342,0.458652360020089
M,14,That's the scientist that the colleague is particularly annoyed by.,Who annoys someone?,the scientist,the colleague,the scientist,passive,active,objexp,annoy,-1.18377009700842,1.18377009700842,0.280861567243809
N,14,That's the scientist that the colleague is particularly cherished by.,Who cherishes someone?,the scientist,the colleague,the scientist,passive,active,subjexp,cherish,-2.91531070624342,2.91531070624342,0.458652360020089
O,14,That's the scientist that the colleague is particularly annoyed by.,Who is annoyed?,the colleague,the scientist,the colleague,passive,passive,objexp,annoy,-1.18377009700842,-1.18377009700842,0.280861567243809
P,14,That's the scientist that the colleague is particularly cherished by.,Who is cherished?,the colleague,the scientist,the colleague,passive,passive,subjexp,cherish,-2.91531070624342,-2.91531070624342,0.458652360020089
A,15,That's the stylist that the barber is really disliked by.,Who dislikes someone?,the barber,the stylist,the stylist,passive,active,subjexp,dislike,-4.39444915467244,4.39444915467244,0.831358696317775
B,15,That's the stylist that the barber is really amazed by.,Who amazes someone?,the barber,the stylist,the stylist,passive,active,objexp,amaze,-2.21193072472592,2.21193072472592,0.417429829975054
C,15,That's the barber that the stylist really dislikes.,Who is disliked?,the barber,the stylist,the barber,active,passive,subjexp,dislike,4.39444915467244,-4.39444915467244,0.831358696317775
D,15,That's the barber that the stylist really amazes.,Who is amazed?,the barber,the stylist,the barber,active,passive,objexp,amaze,2.21193072472592,-2.21193072472592,0.417429829975054
E,15,That's the barber that the stylist really dislikes.,Who dislikes someone?,the stylist,the barber,the stylist,active,active,subjexp,dislike,4.39444915467244,4.39444915467244,0.831358696317775
F,15,That's the barber that the stylist really amazes.,Who amazes someone?,the stylist,the barber,the stylist,active,active,objexp,amaze,2.21193072472592,2.21193072472592,0.417429829975054
G,15,That's the stylist that the barber is really disliked by.,Who is disliked?,the barber,the stylist,the barber,passive,passive,subjexp,dislike,-4.39444915467244,-4.39444915467244,0.831358696317775
H,15,That's the stylist that the barber is really amazed by.,Who is amazed?,the barber,the stylist,the barber,passive,passive,objexp,amaze,-2.21193072472592,-2.21193072472592,0.417429829975054
I,15,That's the stylist that the barber is really disliked by.,Who dislikes someone?,the stylist,the barber,the stylist,passive,active,subjexp,dislike,-4.39444915467244,4.39444915467244,0.831358696317775
J,15,That's the stylist that the barber is really amazed by.,Who amazes someone?,the stylist,the barber,the stylist,passive,active,objexp,amaze,-2.21193072472592,2.21193072472592,0.417429829975054
K,15,That's the barber that the stylist really dislikes.,Who is disliked?,the stylist,the barber,the barber,active,passive,subjexp,dislike,4.39444915467244,-4.39444915467244,0.831358696317775
L,15,That's the barber that the stylist really amazes.,Who is amazed?,the stylist,the barber,the barber,active,passive,objexp,amaze,2.21193072472592,-2.21193072472592,0.417429829975054
M,15,That's the barber that the stylist really dislikes.,Who dislikes someone?,the barber,the stylist,the stylist,active,active,subjexp,dislike,4.39444915467244,4.39444915467244,0.831358696317775
N,15,That's the barber that the stylist really amazes.,Who amazes someone?,the barber,the stylist,the stylist,active,active,objexp,amaze,2.21193072472592,2.21193072472592,0.417429829975054
O,15,That's the stylist that the barber is really disliked by.,Who is disliked?,the stylist,the barber,the barber,passive,passive,subjexp,dislike,-4.39444915467244,-4.39444915467244,0.831358696317775
P,15,That's the stylist that the barber is really amazed by.,Who is amazed?,the stylist,the barber,the barber,passive,passive,objexp,amaze,-2.21193072472592,-2.21193072472592,0.417429829975054
A,16,That's the painter that the artist really amazes.,Who is amazed?,the painter,the artist,the painter,active,passive,objexp,amaze,2.21193072472592,-2.21193072472592,0.417429829975054
B,16,That's the painter that the artist really dislikes.,Who is disliked?,the painter,the artist,the painter,active,passive,subjexp,dislike,4.39444915467244,-4.39444915467244,0.831358696317775
C,16,That's the artist that the painter is really amazed by.,Who amazes someone?,the painter,the artist,the artist,passive,active,objexp,amaze,-2.21193072472592,2.21193072472592,0.417429829975054
D,16,That's the artist that the painter is really disliked by.,Who dislikes someone?,the painter,the artist,the artist,passive,active,subjexp,dislike,-4.39444915467244,4.39444915467244,0.831358696317775
E,16,That's the artist that the painter is really amazed by.,Who is amazed?,the artist,the painter,the painter,passive,passive,objexp,amaze,-2.21193072472592,-2.21193072472592,0.417429829975054
F,16,That's the artist that the painter is really disliked by.,Who is disliked?,the artist,the painter,the painter,passive,passive,subjexp,dislike,-4.39444915467244,-4.39444915467244,0.831358696317775
G,16,That's the painter that the artist really amazes.,Who amazes someone?,the painter,the artist,the artist,active,active,objexp,amaze,2.21193072472592,2.21193072472592,0.417429829975054
H,16,That's the painter that the artist really dislikes.,Who dislikes someone?,the painter,the artist,the artist,active,active,subjexp,dislike,4.39444915467244,4.39444915467244,0.831358696317775
I,16,That's the painter that the artist really amazes.,Who is amazed?,the artist,the painter,the painter,active,passive,objexp,amaze,2.21193072472592,-2.21193072472592,0.417429829975054
J,16,That's the painter that the artist really dislikes.,Who is disliked?,the artist,the painter,the painter,active,passive,subjexp,dislike,4.39444915467244,-4.39444915467244,0.831358696317775
K,16,That's the artist that the painter is really amazed by.,Who amazes someone?,the artist,the painter,the artist,passive,active,objexp,amaze,-2.21193072472592,2.21193072472592,0.417429829975054
L,16,That's the artist that the painter is really disliked by.,Who dislikes someone?,the artist,the painter,the artist,passive,active,subjexp,dislike,-4.39444915467244,4.39444915467244,0.831358696317775
M,16,That's the artist that the painter is really amazed by.,Who is amazed?,the painter,the artist,the painter,passive,passive,objexp,amaze,-2.21193072472592,-2.21193072472592,0.417429829975054
N,16,That's the artist that the painter is really disliked by.,Who is disliked?,the painter,the artist,the painter,passive,passive,subjexp,dislike,-4.39444915467244,-4.39444915467244,0.831358696317775
O,16,That's the painter that the artist really amazes.,Who amazes someone?,the artist,the painter,the artist,active,active,objexp,amaze,2.21193072472592,2.21193072472592,0.417429829975054
P,16,That's the painter that the artist really dislikes.,Who dislikes someone?,the artist,the painter,the artist,active,active,subjexp,dislike,4.39444915467244,4.39444915467244,0.831358696317775
A,17,That's the thief that the cop strongly loathes.,Who is loathed?,the thief,the cop,the thief,active,passive,subjexp,loathe,3.2188758248682,-3.2188758248682,0.498201895023622
B,17,That's the thief that the cop strongly irritates.,Who is irritated?,the thief,the cop,the thief,active,passive,objexp,irritate,1.21553362672701,-1.21553362672701,0.285624451159094
C,17,That's the thief that the cop strongly loathes.,Who loathes someone?,the cop,the thief,the cop,active,active,subjexp,loathe,3.2188758248682,3.2188758248682,0.498201895023622
D,17,That's the thief that the cop strongly irritates.,Who irritates someone?,the cop,the thief,the cop,active,active,objexp,irritate,1.21553362672701,1.21553362672701,0.285624451159094
E,17,That's the cop that the thief is strongly loathed by.,Who is loathed?,the thief,the cop,the thief,passive,passive,subjexp,loathe,-3.2188758248682,-3.2188758248682,0.498201895023622
F,17,That's the cop that the thief is strongly irritated by.,Who is irritated?,the thief,the cop,the thief,passive,passive,objexp,irritate,-1.21553362672701,-1.21553362672701,0.285624451159094
G,17,That's the cop that the thief is strongly loathed by.,Who loathes someone?,the cop,the thief,the cop,passive,active,subjexp,loathe,-3.2188758248682,3.2188758248682,0.498201895023622
H,17,That's the cop that the thief is strongly irritated by.,Who irritates someone?,the cop,the thief,the cop,passive,active,objexp,irritate,-1.21553362672701,1.21553362672701,0.285624451159094
I,17,That's the thief that the cop strongly loathes.,Who is loathed?,the cop,the thief,the thief,active,passive,subjexp,loathe,3.2188758248682,-3.2188758248682,0.498201895023622
J,17,That's the thief that the cop strongly irritates.,Who is irritated?,the cop,the thief,the thief,active,passive,objexp,irritate,1.21553362672701,-1.21553362672701,0.285624451159094
K,17,That's the thief that the cop strongly loathes.,Who loathes someone?,the thief,the cop,the cop,active,active,subjexp,loathe,3.2188758248682,3.2188758248682,0.498201895023622
L,17,That's the thief that the cop strongly irritates.,Who irritates someone?,the thief,the cop,the cop,active,active,objexp,irritate,1.21553362672701,1.21553362672701,0.285624451159094
M,17,That's the cop that the thief is strongly loathed by.,Who is loathed?,the cop,the thief,the thief,passive,passive,subjexp,loathe,-3.2188758248682,-3.2188758248682,0.498201895023622
N,17,That's the cop that the thief is strongly irritated by.,Who is irritated?,the cop,the thief,the thief,passive,passive,objexp,irritate,-1.21553362672701,-1.21553362672701,0.285624451159094
O,17,That's the cop that the thief is strongly loathed by.,Who loathes someone?,the thief,the cop,the cop,passive,active,subjexp,loathe,-3.2188758248682,3.2188758248682,0.498201895023622
P,17,That's the cop that the thief is strongly irritated by.,Who irritates someone?,the thief,the cop,the cop,passive,active,objexp,irritate,-1.21553362672701,1.21553362672701,0.285624451159094
A,18,That's the king that the minister is strongly irritated by.,Who irritates someone?,the minister,the king,the king,passive,active,objexp,irritate,-1.21553362672701,1.21553362672701,0.285624451159094
B,18,That's the king that the minister is strongly loathed by.,Who loathes someone?,the minister,the king,the king,passive,active,subjexp,loathe,-3.2188758248682,3.2188758248682,0.498201895023622
C,18,That's the king that the minister is strongly irritated by.,Who is irritated?,the king,the minister,the minister,passive,passive,objexp,irritate,-1.21553362672701,-1.21553362672701,0.285624451159094
D,18,That's the king that the minister is strongly loathed by.,Who is loathed?,the king,the minister,the minister,passive,passive,subjexp,loathe,-3.2188758248682,-3.2188758248682,0.498201895023622
E,18,That's the minister that the king strongly irritates.,Who irritates someone?,the minister,the king,the king,active,active,objexp,irritate,1.21553362672701,1.21553362672701,0.285624451159094
F,18,That's the minister that the king strongly loathes.,Who loathes someone?,the minister,the king,the king,active,active,subjexp,loathe,3.2188758248682,3.2188758248682,0.498201895023622
G,18,That's the minister that the king strongly irritates.,Who is irritated?,the king,the minister,the minister,active,passive,objexp,irritate,1.21553362672701,-1.21553362672701,0.285624451159094
H,18,That's the minister that the king strongly loathes.,Who is loathed?,the king,the minister,the minister,active,passive,subjexp,loathe,3.2188758248682,-3.2188758248682,0.498201895023622
I,18,That's the king that the minister is strongly irritated by.,Who irritates someone?,the king,the minister,the king,passive,active,objexp,irritate,-1.21553362672701,1.21553362672701,0.285624451159094
J,18,That's the king that the minister is strongly loathed by.,Who loathes someone?,the king,the minister,the king,passive,active,subjexp,loathe,-3.2188758248682,3.2188758248682,0.498201895023622
K,18,That's the king that the minister is strongly irritated by.,Who is irritated?,the minister,the king,the minister,passive,passive,objexp,irritate,-1.21553362672701,-1.21553362672701,0.285624451159094
L,18,That's the king that the minister is strongly loathed by.,Who is loathed?,the minister,the king,the minister,passive,passive,subjexp,loathe,-3.2188758248682,-3.2188758248682,0.498201895023622
M,18,That's the minister that the king strongly irritates.,Who irritates someone?,the king,the minister,the king,active,active,objexp,irritate,1.21553362672701,1.21553362672701,0.285624451159094
N,18,That's the minister that the king strongly loathes.,Who loathes someone?,the king,the minister,the king,active,active,subjexp,loathe,3.2188758248682,3.2188758248682,0.498201895023622
O,18,That's the minister that the king strongly irritates.,Who is irritated?,the minister,the king,the minister,active,passive,objexp,irritate,1.21553362672701,-1.21553362672701,0.285624451159094
P,18,That's the minister that the king strongly loathes.,Who is loathed?,the minister,the king,the minister,active,passive,subjexp,loathe,3.2188758248682,-3.2188758248682,0.498201895023622
A,19,That's the boss that the employee somewhat dreads.,Who dreads someone?,the employee,the boss,the employee,active,active,subjexp,dread,4.89034912822175,4.89034912822175,1.42999592315979
B,19,That's the boss that the employee somewhat depresses.,Who depresses someone?,the employee,the boss,the employee,active,active,objexp,depress,-1.05069893297221,-1.05069893297221,0.256006789227103
C,19,That's the employee that the boss is somewhat dreaded by.,Who is dreaded?,the boss,the employee,the boss,passive,passive,subjexp,dread,-4.89034912822175,-4.89034912822175,1.42999592315979
D,19,That's the employee that the boss is somewhat depressed by.,Who is depressed?,the boss,the employee,the boss,passive,passive,objexp,depress,1.05069893297221,1.05069893297221,0.256006789227103
E,19,That's the employee that the boss is somewhat dreaded by.,Who dreads someone?,the employee,the boss,the employee,passive,active,subjexp,dread,-4.89034912822175,4.89034912822175,1.42999592315979
F,19,That's the employee that the boss is somewhat depressed by.,Who depresses someone?,the employee,the boss,the employee,passive,active,objexp,depress,1.05069893297221,-1.05069893297221,0.256006789227103
G,19,That's the boss that the employee somewhat dreads.,Who is dreaded?,the employee,the boss,the boss,active,passive,subjexp,dread,4.89034912822175,-4.89034912822175,1.42999592315979
H,19,That's the boss that the employee somewhat depresses.,Who is depressed?,the employee,the boss,the boss,active,passive,objexp,depress,-1.05069893297221,1.05069893297221,0.256006789227103
I,19,That's the boss that the employee somewhat dreads.,Who dreads someone?,the boss,the employee,the employee,active,active,subjexp,dread,4.89034912822175,4.89034912822175,1.42999592315979
J,19,That's the boss that the employee somewhat depresses.,Who depresses someone?,the boss,the employee,the employee,active,active,objexp,depress,-1.05069893297221,-1.05069893297221,0.256006789227103
K,19,That's the employee that the boss is somewhat dreaded by.,Who is dreaded?,the employee,the boss,the boss,passive,passive,subjexp,dread,-4.89034912822175,-4.89034912822175,1.42999592315979
L,19,That's the employee that the boss is somewhat depressed by.,Who is depressed?,the employee,the boss,the boss,passive,passive,objexp,depress,1.05069893297221,1.05069893297221,0.256006789227103
M,19,That's the employee that the boss is somewhat dreaded by.,Who dreads someone?,the boss,the employee,the employee,passive,active,subjexp,dread,-4.89034912822175,4.89034912822175,1.42999592315979
N,19,That's the employee that the boss is somewhat depressed by.,Who depresses someone?,the boss,the employee,the employee,passive,active,objexp,depress,1.05069893297221,-1.05069893297221,0.256006789227103
O,19,That's the boss that the employee somewhat dreads.,Who is dreaded?,the boss,the employee,the boss,active,passive,subjexp,dread,4.89034912822175,-4.89034912822175,1.42999592315979
P,19,That's the boss that the employee somewhat depresses.,Who is depressed?,the boss,the employee,the boss,active,passive,objexp,depress,-1.05069893297221,1.05069893297221,0.256006789227103
A,20,That's the journalist that the editor is somewhat depressed by.,Who is depressed?,the journalist,the editor,the editor,passive,passive,objexp,depress,1.05069893297221,1.05069893297221,0.256006789227103
B,20,That's the journalist that the editor is somewhat dreaded by.,Who is dreaded?,the journalist,the editor,the editor,passive,passive,subjexp,dread,-4.89034912822175,-4.89034912822175,1.42999592315979
C,20,That's the editor that the journalist somewhat depresses.,Who depresses someone?,the editor,the journalist,the journalist,active,active,objexp,depress,-1.05069893297221,-1.05069893297221,0.256006789227103
D,20,That's the editor that the journalist somewhat dreads.,Who dreads someone?,the editor,the journalist,the journalist,active,active,subjexp,dread,4.89034912822175,4.89034912822175,1.42999592315979
E,20,That's the editor that the journalist somewhat depresses.,Who is depressed?,the journalist,the editor,the editor,active,passive,objexp,depress,-1.05069893297221,1.05069893297221,0.256006789227103
F,20,That's the editor that the journalist somewhat dreads.,Who is dreaded?,the journalist,the editor,the editor,active,passive,subjexp,dread,4.89034912822175,-4.89034912822175,1.42999592315979
G,20,That's the journalist that the editor is somewhat depressed by.,Who depresses someone?,the journalist,the editor,the journalist,passive,active,objexp,depress,1.05069893297221,-1.05069893297221,0.256006789227103
H,20,That's the journalist that the editor is somewhat dreaded by.,Who dreads someone?,the journalist,the editor,the journalist,passive,active,subjexp,dread,-4.89034912822175,4.89034912822175,1.42999592315979
I,20,That's the journalist that the editor is somewhat depressed by.,Who is depressed?,the editor,the journalist,the editor,passive,passive,objexp,depress,1.05069893297221,1.05069893297221,0.256006789227103
J,20,That's the journalist that the editor is somewhat dreaded by.,Who is dreaded?,the editor,the journalist,the editor,passive,passive,subjexp,dread,-4.89034912822175,-4.89034912822175,1.42999592315979
K,20,That's the editor that the journalist somewhat depresses.,Who depresses someone?,the journalist,the editor,the journalist,active,active,objexp,depress,-1.05069893297221,-1.05069893297221,0.256006789227103
L,20,That's the editor that the journalist somewhat dreads.,Who dreads someone?,the journalist,the editor,the journalist,active,active,subjexp,dread,4.89034912822175,4.89034912822175,1.42999592315979
M,20,That's the editor that the journalist somewhat depresses.,Who is depressed?,the editor,the journalist,the editor,active,passive,objexp,depress,-1.05069893297221,1.05069893297221,0.256006789227103
N,20,That's the editor that the journalist somewhat dreads.,Who is dreaded?,the editor,the journalist,the editor,active,passive,subjexp,dread,4.89034912822175,-4.89034912822175,1.42999592315979
O,20,That's the journalist that the editor is somewhat depressed by.,Who depresses someone?,the editor,the journalist,the journalist,passive,active,objexp,depress,1.05069893297221,-1.05069893297221,0.256006789227103
P,20,That's the journalist that the editor is somewhat dreaded by.,Who dreads someone?,the editor,the journalist,the journalist,passive,active,subjexp,dread,-4.89034912822175,4.89034912822175,1.42999592315979
